M00089	AT3G01470
M00151	AT4G18960
M00343	AT1G13260
M00344	AT1G13260
M00361	AT1G09770
M00392	AT2G03710
M00393	AT2G03710
M00399	AT1G49720
M00400	AT1G49720
M00401	AT1G49720
M00404	AT3G54340
M00404	AT5G20240
M00408	AT1G69120
M00417	AT1G30490
M00434	AT1G09530
M00435	AT1G09530
M00438	AT5G20730
M00438	AT5G37020
M00438	AT5G60450
M00438	AT5G62000
M00438	AT1G19850
M00438	AT1G30330
M00438	AT1G59750
M00441	AT2G46270
M00441	AT4G01120
M00441	AT4G36730
M00442	AT4G34000
M00442	AT1G45249
M00442	AT1G49720
M00442	AT3G19290
M00501	AT4G37750
M00503	AT5G65310
M00635	AT1G13450
M00735	AT2G04880
M00949	AT5G13790
M00950	AT4G18960
M00968	AT3G50060
M00969	AT3G23250
M00970	AT3G49690
M01050	AT4G31920
M01059	AT3G58780
M01060	AT3G58780
M01061	AT5G15800
M01062	AT5G15800
M01063	AT4G18960
M01064	AT2G03710
M01114	AT5G03415
M01114	AT5G22220
M01114	AT1G47870
M01114	AT2G36010
M01114	AT5G02470
M01126	AT2G01930
M01133	AT4G18960
M01156	AT1G75080
M01180	AT1G20980
M01188	AT4G35580
M01189	AT4G35580
M01191	AT5G52170
M01192	AT5G17320
M01193	AT4G21750
M01194	AT4G04890
